Food Resource Type,Agency,Location,Operational Status,Operational Notes,Who They Serve,Address,Latitude,Longitude,Phone Number,Website,Days/Hours,Date Updated
Meal,Sound Generations,Greenwood Senior Center,Limited Operations,"Phinney Ridge also has meals at this site.
Please contact for requirements.
Seniors 60+; or Spouse of senior, or any disabled adult.  Under 60? Please pay $10",Older Adults 60+ and Eligible Participants,"525 N 85th Street, Seattle, WA 98103",47.6904002,-122.3509931,(206)-297-0875,http://www.soundgenerations.org/our-programs/food-security/community-dining/,"Greenwood Meals:
Wed, Fri:
12:00 pm - 12:45 pm

Phinney Ridge Meals:
Tues: 11:00 am - 1:00 pm
Tues: 4:00 pm - 6:00 pm",08/20/2021 12:00:00 AM
Meal,Sound Generations,Hunger Intervention Program - Lake City Community Ctr,Limited Operations,"To go lunches will be available in the Lake City Community Center parking lot.

Limited delivery available, and not on Tues. or Thurs.

Tuesday and Thursday meals provided by Bounce Back.",Older Adults 60+ and Eligible Participants,"12531 28th Ave NE, Seattle, WA 98125",47.7203524,-122.2981048,(206)-707-1865,http://www.soundgenerations.org/our-programs/food-security/community-dining/,"Mon, Wed, Fri
12:30 pm - 1:30 pm",08/20/2021 12:00:00 AM
Meal,Sound Generations,Shoreline Lake Forest Park Senior Center,Limited Operations,"Meals on Wheels, call Tuesday 9:00 am - 12:00 pm to order

To go or hot meals are available for pick up or delivery (delivery is limited)

For pick up or delivery call between 9:00 am - 9:30 am",Older Adults 60+ and Eligible Participants,"18560 1st Ave NE # 1, Shoreline, WA 98155",47.7656663,-122.3291856,(206)-365-1536,http://www.shorelinelfpseniorcenter.org/,"Mon, Tues, Wed, Thurs, Fri:
11:45 am - 12:15 pm",08/20/2021 12:00:00 AM
Meal,Sound Generations & SPS,Yesler Community Center,Limited Operations,"East African Senior Meal Program: Please call ahead for availability

Summer Food Program: Walk up for meals",Contact Agency for Any Eligibility Requirements,"917 E Yesler Way, Seattle, WA 98122",47.60151,-122.3202219,(206)-727-6248,http://www.soundgenerations.org/our-programs/food-security/community-dining/,"East African Senior Program:
Thurs, Sat:
11:45 am - 1:30 pm

Youth 18 and under Summer Food Program:
Mon, Tues, Wed, Thurs, Fri:
9:00 am - 12:00 pm
12:00 pm - 3:00 pm",08/20/2021 12:00:00 AM
Meal,Sound Generations & SPS,Northgate Community Center,Limited Operations,Please call ahead for availability,Contact Agency for Any Eligibility Requirements,"10510 5th Ave NE, Seattle, WA 98125",47.7054887,-122.3221733,(206)-727-6248,http://www.soundgenerations.org/our-programs/food-security/community-dining/,"Adults 60+: 
Tues
12:00 pm - 1:00 pm

Youth under 18 Summer Food:
Mon, Tues, Wed, Thurs, Fri:
9:00 am - 11:00 am 
12:00 pm - 3:00 pm",08/20/2021 12:00:00 AM
Meal,St. James Cathedral,Cathedral Kitchen,Limited Operations,"Dinner service is from 4:00 pm - 4:30 pm.
To-go meals are served or eat indoors with limited seating capacity. Guests may not arrive before 3pm, and may not stay on-site after receiving a meal.
Also serves breakfast from 7:00 am - 8:00 am on Sundays.",Contact Agency for Any Eligibility Requirements,"803 Terry Ave , Seattle, WA 98104",47.607646,-122.3259157,(206)-622-3559,http://www.stjames-cathedral.org/outreach/kitchen.aspx,"Sun:
7:00 am - 8:00 am

Mon, Tues, Wed, Thurs, Fri:
4:00 pm to 4:30 pm",08/20/2021 12:00:00 AM
Meal,St. Luke's Episcopal Church,Edible Hope Kitchen,Limited Operations,Offering breakfast in the morning. Please wear masks.,Contact Agency for Any Eligibility Requirements,"5710 22nd Ave NW, Seattle, WA 98107",47.6704008,-122.3844742,(206)-784-3119,http://www.stlukesseattle.org/,"Mon, Tues, Wed, Thurs, Fri:
9:00 am - 12:00 pm",08/20/2021 12:00:00 AM
Meal,The Interfaith Council to Prevent Homelessness (IFCH) Community Meals,Vashon Methodist Church,Limited Operations,Only for Vashon residents. Please do not contact if you do not live on Vashon Island. Grab-and-go meals are provided for those that are in need on Vashon.,Contact Agency for Any Eligibility Requirements,"17928 Vashon Hwy SW, Vashon, WA, 98070",47.444043,-122.4602001,(206)-643-5169,,"Sun, Mon, Tues, Wed, Thurs, Fri:
5:30 pm",08/20/2021 12:00:00 AM
Meal,Trinity Community Church,Hungry Soul Cafe,Limited Operations,Serving in-housing dining. Please wear a mask as you enter the building. Social distancing is a must. No showers available.,General Public,"3807 Reith Road, Kent, WA 98032",47.3692477,-122.2844903,(253)-852-1044,http://www.facebook.com/JesusatTrinity/,"Wed:
5:00 pm - 5:30 pm",08/20/2021 12:00:00 AM
Meal,Ukrainian Community Center,Ukrainian Community Center of WA - Federal Way,Limited Operations,Please call ahead for availability,Older Adults 60+ and Eligible Participants,"1430 S 330th St, Federal Way, WA 98003",47.3067079,-122.3154071,(425)-430-8229,http://uccwa.org/,"Thurs:
10:30 am - 2:00 pm",08/20/2021 12:00:00 AM
Meal,Ukrainian Community Center,Iraqi Community Center of Washington,Limited Operations,This information is for the work Iraqi Community Center is doing: Please contact them for home delivery needs,General Public,"11010 SE 248th St, Kent, WA 98030",47.3811974,-122.1937157,(253)-243-7744,http://uccwa.org/,Please contact for home delivery,08/20/2021 12:00:00 AM
Meal,Ukrainian Community Center,Ukrainian Community Center of WA - Seattle,Limited Operations,Delivers grocery bags to clients. Please call ahead for availability and eligibility requirements.,Older Adults 60+ and Eligible Participants,"13470 Martin Luther King Jr Way S #5210, Seattle, WA 98178",47.7240367,-122.3486525,(425)-430-8229,http://uccwa.org/,"Tues, Thurs:
10:30 am - 2:00 pm",08/20/2021 12:00:00 AM
Meal,United Indians of All Tribes Foundation (UIATF),UIATF Labatyeh Youth Home,Limited Operations,"Please call ahead if need assistance. 
Wednesday - 1  hot meal and 3 frozen meals delivered at one time
Fridays - food bank and grocery shopping assistance.
Services are for participants of the program but will not turn away someone that needs assistance.",Older Adults 60+ and Eligible Participants,"9010 13th Ave NW, Seattle, WA 98117",47.6946156,-122.3723726,(206)-285-4425,http://www.unitedindians.org/,"Wed:
10:00 am - 3:00 pm",08/20/2021 12:00:00 AM
Meal,Asian Counseling and Referral Service (ACRS),Kent Memorial Park (Nepali and Samoan Meal Program),Limited Operations,Home Delivery ONLY every 2 weeks through Meals on Wheels. Call (206)-448-3110 in advance to sign up.,Older Adults 60+ and Eligible Participants,"850 Central Avenue N, Kent, WA 98032",47.3901637,-122.2304706,(253)-856-5000,http://www.kentwa.gov/Home/Components/FacilityDirectory/FacilityDirectory/250/318,See Other Notes,08/20/2021 12:00:00 AM
Meal,Asian Counseling and Referral Service (ACRS),Duoc Su Senior Nutr. Program,Limited Operations,"Emergency Food and Meal Delivery: 
Call Jo Pullen: (206)-774-2420",Older Adults 60+ and Eligible Participants,"6924 42nd Ave S , Seattle, WA 98118",47.5400001,-122.2803173,(206)-695-7510,http://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,See Other Notes,08/20/2021 12:00:00 AM
Meal,Asian Counseling and Referral Service (ACRS),Friendly Island of Tonga Seniors,Limited Operations,"Emergency Food and Meal Delivery: 
Call Jo Pullen: (206)-774-2420",Older Adults 60+ and Eligible Participants,"4620 SW Graham Street, Seattle, WA 98136",47.546979,-122.3922666,(206)-695-7510,http://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,See Other Notes,08/20/2021 12:00:00 AM
Meal,Asian Counseling and Referral Service (ACRS),Laotian Senior Club,Limited Operations,"Emergency Food and Meal Delivery: 
Call Jo Pullen: (206)-774-2420",Older Adults 60+ and Eligible Participants,"5740 Martin Luther King Jr Way S, Seattle, WA 98118",47.5500465,-122.2871358,(206)-695-7510,http://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Wed, Fri:
11:30 am - 1:00 pm",08/20/2021 12:00:00 AM
Meal,Asian Counseling and Referral Service (ACRS),Club Bamboo and Hmong Senior Club,Limited Operations,"Emergency Food and Meal Delivery: 
Call Jo Pullen: (206)-774-2420",Older Adults 60+ and Eligible Participants,"3639 Martin Luther King Jr Way S, Seattle, WA 98144",47.570897,-122.2973881,(206)-695-7510,http://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Mon, Tue, Wed, Thurs, Fri:
11:30 am - 1:00 pm",08/20/2021 12:00:00 AM
Meal,Asian Counseling and Referral Service (ACRS),Seattle Korean Elders Assoc Center Park - SHA,Limited Operations,"Emergency Food and Meal Delivery: 
Call Jo Pullen: (206)-774-2420",Older Adults 60+ and Eligible Participants,"2121 26th Ave S, Seattle, WA 98144",47.5842083,-122.2996639,(206)-695-7510,http://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Tue, Fri:
12:00 pm - 1:00 pm",08/20/2021 12:00:00 AM
Meal,Asian Counseling and Referral Service (ACRS),Vietnamese Senior Assoc. Garfield Community Center,Limited Operations,"Emergency Food and Meal Delivery: 
Call Jo Pullen: (206)-774-2420",Older Adults 60+ and Eligible Participants,"2323 E Cherry St, Seattle, WA 98112",47.6076951,-122.3021127,(206)-695-7510,http://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Tue, Fri:
12:00 pm - 1:00 pm",08/20/2021 12:00:00 AM
Meal,Asian Counseling and Referral Service (ACRS),Korean Senior Club Miller Community Ctr,Limited Operations,"Emergency Food and Meal Delivery: 
Call Jo Pullen: (206)-774-2420",Older Adults 60+ and Eligible Participants,"330 19th Ave E, Seattle, WA 98122",47.6219158,-122.3069784,(206)-695-7510,http://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Tue, Fri:
11:30 am - 1:00 pm",08/20/2021 12:00:00 AM
Meal,Aurora Commons,,Limited Operations,"Temporarily closed drop-in services and instead are offering meals, hygiene, clothing, and supplies through our front door and are allowing people to enter through the back door one at a time to use the restroom.",General Public,"8914 Aurora Ave N, Seattle, WA 98103",47.6938816,-122.3442384,(206)-299-2278,http://www.auroracommons.org/,"Mon, Tues, Wed, Thurs
10:00 am - 1:00 pm",08/20/2021 12:00:00 AM
Meal,Bread of Life Mission,,Limited Operations,"Hot meals, fresh fruit and drinks everyday in to go containers",General Public,"97 South Main Street, Seattle, WA 98104",47.5999268,-122.334605,(206)-682-3579,http://www.breadoflifemission.org/our-programs,"Mon, Tues, Wed, Thurs, Fri:
 12:15 pm - 1:00 pm and 7:00 - 7:45 pm",08/20/2021 12:00:00 AM
Meal,Catholic Community Services,Lazarus Center,Open,7 days a week,Contact Agency for Any Eligibility Requirements,"2329 Rainier Ave S, Seattle, WA 98144",47.5822614,-122.3015923,(206)-623-7219,http://www.ccsww.org/get-help/shelter-homeless-services/lazarus-center/,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat:
Breakfast: 8:00 am - 9:00 am  
Lunch: 12:30 pm - 2:00 pm",08/20/2021 12:00:00 AM
Meal,Des Moines Area Food Bank,,Open,Grab'n'Go meals for kids and teens. Food does not need to be eaten on site and can be picked up by parents. 2 days of meals given on both Monday and Wednesday; weekend meals given on Friday. Meals distributed by door at lower level of Des Moines United Methodist Church,General Public,"22225 9th Ave S, Des Moines, WA  98198",47.4022373,-122.3246258,(206)-878-2660,http://www.myfoodbank.org/meals-for-kids.html,"Mon, Wed, Fri 
8:30 am - 12:15 pm",08/20/2021 12:00:00 AM
Meal,Des Moines Area Food Bank,Midway Park,Open,Grab'n'Go meals for kids and teens at 8 sites. Food does not need to be eaten on site and can be picked up by parents.,Youth and Young Adults,"S 221st St & 29th Ave S, Des Moines, WA 98198",47.4036369,-122.2982037,(206)-878-2660,http://www.myfoodbank.org/meals-for-kids.html,"Mon, Tues, Wed, Thurs, Fri:
12:30 pm - 12:50 pm",08/20/2021 12:00:00 AM
Meal,Des Moines Area Food Bank,Pine Ridge Apartments,Open,Grab'n'Go meals for kids and teens at 8 sites. Food does not need to be eaten on site and can be picked up by parents.,Youth and Young Adults,"3725 S 180th St, SeaTac, WA  98188",47.4409849,-122.2885294,(206)-878-2660,http://www.myfoodbank.org/meals-for-kids.html,"Mon, Tues, Wed, Thurs, Fri:
12:20-12:40 pm",08/20/2021 12:00:00 AM
Meal,Des Moines Area Food Bank,Willow Lake Apartments,Open,Grab'n'Go meals for kids and teens at 8 sites. Food does not need to be eaten on site and can be picked up by parents.,Youth and Young Adults,"3002 32nd Ave S, SeaTac, WA 98188",47.444696,-122.2941207,(206)-878-2660,http://www.myfoodbank.org/meals-for-kids.html,"Mon, Tues, Wed, Thurs, Fri:
12:00 pm - 12:15 pm",08/20/2021 12:00:00 AM
Meal,Des Moines Area Food Bank,Windsor Heights Apartments,Open,Grab'n'Go meals for kids and teens at 8 sites. Food does not need to be eaten on site and can be picked up by parents.,Youth and Young Adults,"17229 32nd Ave S, SeaTac, WA 98188",47.448479,-122.2956636,(206)-878-2660,http://www.myfoodbank.org/meals-for-kids.html,"Mon, Tues, Wed, Thurs, Fri:
12:00 pm - 12:10 pm",08/20/2021 12:00:00 AM
Meal,Des Moines Area Food Bank,Angle Lake Park,Open,Grab'n'Go meals for kids and teens at 8 sites. Food does not need to be eaten on site and can be picked up by parents.,Youth and Young Adults,"19408 International Blvd, SeaTac, WA 98188",,,(206)-878-2660,http://www.myfoodbank.org/meals-for-kids.html,"Mon, Tues, Wed, Thurs, Fri:
12:00 pm - 3:00 pm",08/20/2021 12:00:00 AM
Meal,Des Moines Area Food Bank,Des Moines Marina Farmers Market,Open,Grab'n'Go meals for kids and teens at 8 sites. Food does not need to be eaten on site and can be picked up by parents.,Youth and Young Adults,"22307 Dock Ave S, Des Moines, WA 98198",,,(206)-878-2660,http://www.myfoodbank.org/meals-for-kids.html,"Sat:
9:00 am - 2:00 pm",08/20/2021 12:00:00 AM
Meal,Des Moines Area Food Bank,McMicken Park,Open,Grab'n'Go meals for kids and teens at 8 sites. Food does not need to be eaten on site and can be picked up by parents.,Youth and Young Adults,"S 166th St & 37th Ave S, SeaTac, WA 98188",,,(206)-878-2660,http://www.myfoodbank.org/meals-for-kids.html,"Mon, Tues, Wed, Thurs, Fri:
11:30 am - 11:50 am",08/20/2021 12:00:00 AM
Meal,Des Moines Area Food Bank,Redondo Beach Park,Open,Grab'n'Go meals for kids and teens at 8 sites. Food does not need to be eaten on site and can be picked up by parents.,Youth and Young Adults,Redondo Beach Dr S and Redondo Way S,,,(206)-878-2660,http://www.myfoodbank.org/meals-for-kids.html,"Mon, Tues, Wed, Thurs, Fri:
1:00 pm - 2:30 pm",08/20/2021 12:00:00 AM
Meal,Federal Way Community Caregiving Network,Christian Faith Center,Limited Operations,"During this COVID 19 crisis, food is only being provided in lunch bags which is distributed outside.",General Public,"33645 20th Ave S, Federal Way, WA 98003",47.2987135,-122.3086459,(253)-661-0505,http://www.fwccn.org/services.html,"Mon:
5:30 pm - 6:30 pm",08/20/2021 12:00:00 AM
Meal,Federal Way Community Caregiving Network,Good Shepherd Community Supper,Limited Operations,"Early arrival (15-30 minutes) is recommended 
Distributing cold/shelf-stable no-cook meals
Distributing prepacked boxes or bags outside.",General Public,"345 S 312th St, Federal Way, WA 98003",47.3221136,-122.330177,(253)-661-0505,http://www.fwccn.org/services.html,"Sat:
1:30 pm - 2:30 pm",08/20/2021 12:00:00 AM
Meal,First Covenant Church,,Open,"Preparing hot breakfast sandwiches and bag lunches,  ask guests to line up 6 feet apart",Contact Agency for Any Eligibility Requirements,"400 E Pike St, Seattle, WA 98122",47.6142392,-122.3263239,(206)-322-7411,http://www.firstcovenantseattle.org/outreach,"Sat:
9:00 am - 9:30 am",08/20/2021 12:00:00 AM
Meal,First United Methodist Church of Seattle,,Limited Operations,"Reopened November 15, providing To-Go Meals only, from Denny Way entrance to church.",General Public,"180 Denny Way, Seattle, WA 98109",47.6188068,-122.3531962,(206)-622-7278,http://www.firstchurchseattle.org/shared-breakfast/?fbclid=IwAR2EAykPB90--700TuZeuY3aX18yx3tXkg9lbCW8qVghb3RgTCJJnwkB7wQ,"Sun:
7:30 am - 9:00 am",08/20/2021 12:00:00 AM
Meal,Food Not Bombs - Seattle,Occidental Park,Open,Free vegetarian meal,General Public,"Occidental Ave S and S Main St, Seattle, WA 98104",47.6000475,-122.3328885,(206)-397-6815,http://www.seattlefoodnotbombs.org/?fbclid=IwAR3T68e9asOm5ksmU_CuHK8ppZZir1QFQBRn_HbSvUCNvhDb7sGxeFXhr_g,"Sun:
4:30 pm - 7:00 pm",08/20/2021 12:00:00 AM
Meal,Food Not Bombs - Seattle,Prefontaine Place (by Pioneer Square Station),Open,Free vegetarian meal,General Public,"450 3rd Ave, Seattle, WA 98104",47.60264944,-122.3305588,(206)-397-6815,http://www.seattlefoodnotbombs.org/?fbclid=IwAR3T68e9asOm5ksmU_CuHK8ppZZir1QFQBRn_HbSvUCNvhDb7sGxeFXhr_g,"Sat:
4:30 pm - 6:30 pm",08/20/2021 12:00:00 AM
Meal,Frelard Tamales,,Limited Operations,Free grab and go meal for people economically impacted by Covid-19.,General Public,"6412 Latona Avenue NE, Seattle, WA 98115",47.6756763,-122.3252185,(206)-523-6654,http://www.frelardtamales.com/,"Mon, Tues, Wed, Thurs, Fri:
11:00 am - 8:00 pm
Sat, Sun:
10:00 am - 5:00 pm",08/20/2021 12:00:00 AM
Meal,Holy Spirit Church,Holy Spirit Church,Open,Boxed dinner,General Public,"318 3rd Ave S, Kent, WA 98032",47.3790708,-122.2357517,(253)-859-0444,http://www.holyspiritkent.org/,Tues: 6:30 pm - 7:00 pm,08/20/2021 12:00:00 AM
Meal,Hunger Intervention Program,Cedarvale Village,Open,"Summer program ends 8/27
Site provides free take home meals for kids and teens 18 and younger. A weeks' supply of breakfasts available on Mondays. Free meals also available for parents.",Youth and Young Adults,"11050 8th Ave NE, Seattle, WA 98125",47.710233,-122.3201755,(206)-538-6567,http://www.hungerintervention.org/,"Mon, Tues, Wed, Thurs, Fri:
12:00 pm - 12:30 pm",08/20/2021 12:00:00 AM
Meal,Hunger Intervention Program,Bella-B Mobile Park Home,Open,"Summer program ends 8/27
Site provides free take home meals for kids and teens 18 and younger. A weeks' supply of breakfasts available on Mondays. Free meals also available for parents.",Youth and Young Adults,"1333 North 125th St, Seattle, WA 98133",47.718835,-122.340947,(206)-538-6567,http://www.hungerintervention.org/,"Mon, Tues, Wed, Thurs, Fri:
12:00 pm- 12:30 pm",08/20/2021 12:00:00 AM
Meal,Hunger Intervention Program,Lake City Court,Open,"Summer program ends 8/27
Site provides free take home meals for kids and teens 18 and younger. A weeks' supply of breakfasts available on Mondays. Free meals also available for parents.",Youth and Young Adults,"12526 33rd Ave NE, Seattle, WA 98125",47.720291,-122.291805,(206)-538-6567,http://www.hungerintervention.org/,"Mon, Tues, Wed, Thurs, Fri:
1:00 pm - 1:30 pm",08/20/2021 12:00:00 AM
Meal,Hunger Intervention Program,Jackson Park Community Building,Open,"Summer program ends 8/27
Site provides free take home meals for kids and teens 18 and younger. A weeks' supply of breakfasts available on Mondays. Free meals also available for parents.",Youth and Young Adults,"14374 30th Ave NE, Seattle, WA 98125",47.733508,-122.29595,(206)-538-6567,http://www.hungerintervention.org/,"Mon, Tues, Wed, Thurs, Fri:
1:00 pm - 1:30 pm",08/20/2021 12:00:00 AM
Meal,Hunger Intervention Program,Paramount School Park,Open,"Summer program ends 8/27
Site provides free take home meals for kids and teens 18 and younger. A weeks' supply of breakfasts available on Mondays. Free meals also available for parents.",Youth and Young Adults,"15300 8th Ave NE, Shoreline, WA 98155",47.7402967,-122.319751,(206)-538-6567,http://www.hungerintervention.org/,"Mon, Tues, Wed, Thurs, Fri:
11:30 am - 12:30 pm",08/20/2021 12:00:00 AM
Meal,Hunger Intervention Program,KCLS Library (Shoreline Branch),Open,"Summer program ends 8/27
Site provides free take home meals for kids and teens 18 and younger. A weeks' supply of breakfasts available on Mondays. Free meals also available for parents.",Youth and Young Adults,"345 NE 175th St, Shoreline, WA 98155",47.7555883,-122.3248143,(206)-538-6567,http://www.hungerintervention.org/,"Mon, Tues, Wed, Thurs, Fri:
1:00 pm - 2:00 pm",08/20/2021 12:00:00 AM
Meal,Hunger Intervention Program,North City Elementary School,Open,"Summer program ends 8/27
Site provides free take home meals for kids and teens 18 and younger. A weeks' supply of breakfasts available on Mondays. Free meals also available for parents.",Youth and Young Adults,"816 NE 190th St, Shoreline, WA 98155",47.767272,-122.3208429,(206)-538-6567,http://www.hungerintervention.org/,"Mon, Tues, Wed, Thurs, Fri:
11:30 am - 12:30 pm",08/20/2021 12:00:00 AM
Meal,Hunger Intervention Program,Farmers Market at Lake City Community Center,Open,Site provides free take home meals for kids and teens 18 and younger. Free meals also available for parents.,Youth and Young Adults,"12531 28th Ave NE, Seattle, WA 98125",,,(206)-538-6567,http://www.hungerintervention.org/,"Thurs:
3:30 pm - 6:30 pm (7/1-8/27 only)",08/20/2021 12:00:00 AM
Meal,"Operation Sack Lunch, Inc.",Uplift Northwest (formerly Millionair Club),Open,,General Public,"2515 Western Ave, Seattle, WA 98121",47.6140051,-122.3503064,(206)-922-2015,http://www.oslserves.org/,"Mon, Tues, Wed, Thurs, Fri:
8:00 am -9:00 am
12:30 pm -2:00 pm
5:00 pm - 6:30 pm
Sat & Sun (can vary so call):
10:00 am - 11:00 am
12:30 pm - 2:00 pm
5:00 pm - 6:30 pm",08/20/2021 12:00:00 AM
Meal,Recovery Café,Main site,Limited Operations,Contact agency for any eligibility requirements,Contact Agency for Any Eligibility Requirements,"2022 Boren Ave, Seattle, WA 98121",47.618348,-122.3346308,(206)-374-8731,http://www.recoverycafe.org/,"Mon, Tues, Wed, Thurs, Fri, Sat:
12:30 pm - 2:30 pm
Sun: 10:30 am - 12:30 pm",08/20/2021 12:00:00 AM
Meal,ROOTS,Friday Feast,Limited Operations,"Contact agency for any eligibility requirements.
Friday Feast is hosted by Chapel on The Ave Fridays 5:30-7:00PM. To-Go meals served from the alley entrance behind the church. From the corner of 42nd and University Way, head east toward UW Campus. Take a right into the alley near Orange King and the Chapel garage will be on your right near a large gate.",General Public,"1415 NE 43rd St, Seattle, WA 98105",47.6592588,-122.3124319,(206)-632-1635,http://www.rootsinfo.org/,Fri: 5:30 pm -7:00 pm,08/20/2021 12:00:00 AM
Food Bank,Tilth  Alliance Market Program,South Seattle  - Rainier Beach,Open,"Our pay-what-you-can farm stand supports our goal of ensuring that everyone in the community has fair, equal, and dignified access to local, fresh, seasonal, organic, and sustainably-grown food. We offer those in need up to $20 of produce at no-cost per visit. Donations are encouraged for produce, but no one is turned away for inability to pay. We accept cash, credit, EBT, Fresh Bucks and offer SNAP Market Match. Open for 2021 season June 17-September 30.",General Public,"5513 S Cloverdale St, Seattle, WA 98118",47.5261434,-122.2624573,,http://tilthalliance.square.site/,"Thur:
2:00 pm -7:00 pm",08/20/2021 12:00:00 AM
Food Bank & Meal,Asian Counseling and Referral Service (ACRS),ACRS Food Bank and Meals,Limited Operations,Emergency Food and Meal Delivery: Call Jo Pullen (206)-774-2420,General Public,"919 S King St, Seattle, WA 98104",47.5982137,-122.320193,(206)-774-2420,http://www.acrs.org/services/aging-services-for-older-adults/acrs-food-bank/,Wed and Fri: 11:30 am - 1:00 pm,08/20/2021 12:00:00 AM
Meal,Atrium Kitchen,,Open,,Contact Agency for Any Eligibility Requirements,"93 Pike St, Seattle, WA 98101",47.608632,-122.3401409,(206)-829-9525,http://www.atriumkitchenpikeplace.com/,First Wed of Month: 11:30 am - 1:00 pm,08/20/2021 12:00:00 AM
Food Bank & Meal,Catholic Community Services of Western Washington,Federal Way Senior Center -  Latino Program,Limited Operations,Distributing prepacked boxes or bags,Older Adults 60+ and Eligible Participants,"4016 S 352nd St, Auburn, WA 98001",47.2868994,-122.2841789,(253)-838-3604,http://www.federalwayseniorcenter.org/,"Mon, Thurs:
9:00 am - 12:00 pm",08/20/2021 12:00:00 AM
Food Bank & Meal,Catholic Community Services of Western Washington,Black Diamond Community and Senior Center,Limited Operations,"Food Bank: The front doors are locked to minimize foot traffic: please knock or call when you arrive

Meals: Take out only, please call to order a meal the day before 360-886-1011.",Older Adults 60+ and Eligible Participants,"31605 3rd Ave, Black Diamond, WA 98010",47.3183476,-122.0054494,(360)-886-1011,http://www.blackdiamondcommcenter.org/,"Food Bank:
Mon, Wed:
10:00 am - 3:00 pm

To-go Meal:
Tues, Thurs:
12:00 pm",08/20/2021 12:00:00 AM
Meal,Catholic Community Services of Western Washington,Peter Kirk Community Center,Limited Operations,Foodbank box for Kirkland residents ONLY. Call (425)-207-4777,Older Adults 60+ and Eligible Participants,"352 Kirkland Ave, Kirkland, WA 98033",47.67621,-122.201035,(425)-587-3360,http://www.kirklandwa.gov/depart/parks/About_Parks_and_Community_Services/Senior_Services.htm,"Tues, Wed, Fri
12:00 pm",08/20/2021 12:00:00 AM
Food Bank & Meal,Catholic Community Services of Western Washington/Enumclaw Food Bank,Enumclaw Senior Center/Plateau Ministries,Limited Operations,"Only delivering meals on Tuesdays Each delivery contains 7 frozen meals Please call ahead.

Instead of our usual ‘grocery store style’ shopping experience, we have set up a ‘drive-through’ (or walk through) operation. Customers can drive or walk through the alley and we will hand them a pre-packed allotment of food.",Contact Agency for Any Eligibility Requirements,"1350 Cole St, Enumclaw, WA 98022",47.2020157,-121.991691,(360)-825-6188,http://www.plateauoutreach.org/,"Meals: Delivery and To-go Only
Tues: 11:00 am - 1:00 pm

Food Bank:
Wed: 9:00 am - 12:00 pm 

Emergency Food/Meals:
Mon, Tues, Wed, Thurs, Fri, Sat:
10:00 am - 3:00 pm",08/20/2021 12:00:00 AM
Food Bank,Cedar Park Northshore Church,Kenmore Food Bank,Limited Operations,,General Public,"18737 68th Ave NE, Kenmore, WA 98028",47.765377,-122.2498724,(425)-939-1377,http://cpnorthshore.com/food-bank/,Mon: 6:00 pm - 7:00 pm,08/20/2021 12:00:00 AM
Food Bank,Des Moines Area Food Bank,Des Moines United Methodist Church,Open,"For those who need help in the cities of Des Moines, most of SeaTac, and the West Hill of Kent, Washington.

Families can visit once a month and receive a mix of canned, fresh, and frozen food.",General Public,"22225 9th Avenue South, Des Moines, WA 98198",47.4022373,-122.3224371,(206)-878-2660,http://www.myfoodbank.org/,"Mon, Wed, Fri:
Age 60+: 8:30 am - 9:00 am
9:00 am - 11:45 am

Every 3rd Tues: 
6:00 pm - 8:00 pm",08/20/2021 12:00:00 AM
Food Bank & Meal,El Centro de la Raza,El Centro de la Raza,Limited Operations,"Food Bank: Note specific Senior Times and visit one time a week

Meals: Please call ahead limited bag lunches available","Food Bank: General Public
Meals: Older Adults 60+ and Eligible Participants","2524 16th Ave S, Seattle, WA 98144",47.5805157,-122.3113797,(206)-957-4605,https://www.elcentrodelaraza.org/get-help/human-emergency-services/food-bank/,"Food Bank:
Wed: (Seniors and mobility limited individuals ONLY): 3:30  pm - 6:30 pm
Thurs: 10:00 am - 12:00 pm & 2:00 pm - 4:00 pm
Fri: 10:00 am - 12:00 pm & 2:00 pm - 4:00 pm

Meal Program:
Mon, Tues, Wed, Thurs, Fri:
11:00 am - 12:30 pm",08/20/2021 12:00:00 AM
Food Bank & Meal,Filipino Community of Seattle,Filipino Community of Seattle Meals and Food Bank,Limited Operations,"Lunch and packed food items are delivered to homes of seniors and their families or are made available through curbside pickup at the Filipino Community Center.

Senior Lunch Program participants must call ONE DAY AHEAD in order to reserve a lunch and/or food bank bag to pick up. This change does not apply to those who have their lunches delivered. 

If you know any seniors needing food in this time of crisis, please call 206-280-8406.","Food Banks: General Public
Meals: Older Adults 60+ and Eligible Participants","5740 Martin Luther King Jr Way S, Seattle, WA 98144",47.5500465,-122.2871358,(206)-722-9372,http://filcommsea.org/index.php/programs/senior-lunch-program/,"Food Bank:
Mon, Tues, Thurs:
11:30 am -1:00 pm

Meals:
Mon, Tues Thurs: 11:30 am - 1:00 pm",08/20/2021 12:00:00 AM
